conclave_date,pope_name,rank,name,name_words,country_serving,born,years_above_80,years_below_80,age,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,ap_choice,newsweek_choice,betting_market,first_language
21-Apr-2025,NA,166,Álvaro Leonel Ramazzini Imeri,4,Guatemala,16-Jul-1947,0.0,2.2,77.8,4.3943,CP,28-Nov-2020,Francis,Bishop of Huehuetenango,0,0,0,0,Spanish
21-Apr-2025,NA,167,Matteo Zuppi,2,Italy,11-Oct-1955,0.0,10.5,69.5,4.3943,CP,28-Nov-2020,Francis,Archbishop of Bologna,0,1,1,0.1163,Italian
21-Apr-2025,NA,168,Cristóbal López Romero ,3,Morocco[l],19-May-1952,0.0,7.1,72.9,4.3943,CP,28-Nov-2020,Francis,Archbishop of Rabat,0,0,0,0,Spanish
21-Apr-2025,NA,169,Sigitas Tamkevičius ,2,Lithuania,7-Nov-1938,6.5,0.0,86.5,4.3943,CP,28-Nov-2020,Francis,Archbishop emeritus of Kaunas,0,0,0,0,Lithuanian
21-Apr-2025,NA,170,Antoine Kambanda,2,Rwanda,10-Nov-1958,0.0,13.6,66.4,4.3943,CP,28-Nov-2020,Francis,Archbishop of Kigali,0,0,0,0,Kinyarwanda
21-Apr-2025,NA,171,Wilton Daniel Gregory,3,United States,7-Dec-1947,0.0,2.6,77.4,4.3943,CP,28-Nov-2020,Francis,Archbishop emeritus of Washington,0,0,0,0,English
21-Apr-2025,NA,172,Jose Advincula ,2,Philippines,30-Mar-1952,0.0,6.9,73.1,2.6502,CP,27-Aug-2022,Francis,Archbishop of Manila,0,0,0,0,Hiligaynon
21-Apr-2025,NA,173,Celestino Aós Braco,3,Chile[m],6-Apr-1945,0.0,0.0,80.0,2.6502,CP,27-Aug-2022,Francis,Archbishop emeritus of Santiago de Chile,0,0,0,0,Spanish
21-Apr-2025,NA,174,Augusto Paolo Lojudice,3,Italy,1-Jul-1964,0.0,19.2,60.8,2.6502,CP,27-Aug-2022,Francis,Archbishop of Siena–Colle di Val d'Elsa–Montalcino and Bishop of Montepulciano–Chiusi–Pienza,0,0,0,0,Italian
21-Apr-2025,NA,175,Felipe Arizmendi Esquivel,3,Mexico,1-May-1940,5.0,0.0,85.0,2.6502,CP,27-Aug-2022,Francis,Bishop emeritus of San Cristóbal de Las Casas,0,0,0,0,Spanish
21-Apr-2025,NA,176,Jean-Marc Aveline,2,France,26-Dec-1958,0.0,13.7,66.3,2.6502,CP,27-Aug-2022,Francis,Archbishop of Marseille,0,0,0,0.0345,French
21-Apr-2025,NA,177,Peter Okpaleke,2,Nigeria,1-Mar-1963,0.0,17.9,62.1,2.6502,CP,27-Aug-2022,Francis,Bishop of Ekwulobia,0,0,0,0,Igbo
21-Apr-2025,NA,178,Leonardo Ulrich Steiner ,3,Brazil,6-Nov-1950,0.0,5.5,74.5,2.6502,CP,27-Aug-2022,Francis,Archbishop of Manaus,0,0,0,0,Portuguese
21-Apr-2025,NA,179,Filipe Neri Ferrão,3,India,20-Jan-1953,0.0,7.8,72.2,2.6502,CP,27-Aug-2022,Francis,Archbishop of Goa and Daman and Patriarch of the East Indies,0,0,0,0,Konkani
21-Apr-2025,NA,180,Robert W. McElroy,3,United States,5-Feb-1954,0.0,8.8,71.2,2.6502,CP,27-Aug-2022,Francis,Archbishop of Washington,0,0,0,0,English
21-Apr-2025,NA,181,Virgílio do Carmo da Silva ,5,East Timor,27-Nov-1967,0.0,22.6,57.4,2.6502,CP,27-Aug-2022,Francis,Archbishop of Díli,0,0,0,0,Tetum
21-Apr-2025,NA,182,Oscar Cantoni,2,Italy,1-Sep-1950,0.0,5.4,74.6,2.6502,CP,27-Aug-2022,Francis,Bishop of Como,0,0,0,0,Italian
21-Apr-2025,NA,183,Anthony Poola,2,India,15-Nov-1961,0.0,16.6,63.4,2.6502,CP,27-Aug-2022,Francis,Archbishop of Hyderabad,0,0,0,0,Telugu
21-Apr-2025,NA,184,Paulo Cezar Costa,3,Brazil,20-Jul-1967,0.0,22.2,57.8,2.6502,CP,27-Aug-2022,Francis,Archbishop of Brasília,0,0,0,0,Portuguese
21-Apr-2025,NA,185,William Goh,2,Singapore,25-Jun-1957,0.0,12.2,67.8,2.6502,CP,27-Aug-2022,Francis,Archbishop of Singapore,0,0,0,0,English
21-Apr-2025,NA,186,Adalberto Martínez Flores,3,Paraguay,8-Jul-1951,0.0,6.2,73.8,1.5578,CP,30-Sep-2023,Francis,Archbishop of Asunción,0,0,0,0,Spanish
21-Apr-2025,NA,187,Giorgio Marengo ,2,Mongolia[n],7-Jun-1974,0.0,29.1,50.9,1.5578,CP,30-Sep-2023,Francis,Apostolic Prefect of Ulaanbaatar,0,0,0,0,Italian
21-Apr-2025,NA,188,Jorge Enrique Jiménez Carvajal CJM,5,Colombia,29-Mar-1942,3.1,0.0,83.1,1.5578,CP,30-Sep-2023,Francis,Archbishop emeritus of Cartagena,0,0,0,0,Spanish
21-Apr-2025,NA,189,Arrigo Miglio,2,Italy,18-Jul-1942,2.8,0.0,82.8,1.5578,CP,30-Sep-2023,Francis,Archbishop emeritus of Cagliari,0,0,0,0,Italian
21-Apr-2025,NA,190,Pierbattista Pizzaballa,2,Jerusalem[o],21-Apr-1965,0.0,20.0,60.0,1.5578,CP,30-Sep-2023,Francis,Latin Patriarch of Jerusalem,0,0,0,0.0741,Italian
21-Apr-2025,NA,191,Stephen Brislin,2,South Africa,24-Sep-1956,0.0,11.4,68.6,1.5578,CP,30-Sep-2023,Francis,Archbishop of Johannesburg,0,0,0,0,English
21-Apr-2025,NA,192,Ángel Sixto Rossi ,3,Argentina,11-Aug-1958,0.0,13.3,66.7,1.5578,CP,30-Sep-2023,Francis,Archbishop of Córdoba,0,0,0,0,Spanish
21-Apr-2025,NA,193,Luis José Rueda Aparicio,4,Colombia,3-Mar-1962,0.0,16.9,63.1,1.5578,CP,30-Sep-2023,Francis,Archbishop of Bogotá,0,0,0,0,Spanish
21-Apr-2025,NA,194,Grzegorz Ryś,2,Poland,9-Feb-1964,0.0,18.8,61.2,1.5578,CP,30-Sep-2023,Francis,Archbishop of Łódź,0,0,0,0,Polish
21-Apr-2025,NA,195,Stephen Ameyu Martin Mulla,4,South Sudan,10-Jan-1964,0.0,18.7,61.3,1.5578,CP,30-Sep-2023,Francis,Archbishop of Juba,0,0,0,0,Bari
21-Apr-2025,NA,196,José Cobo Cano,3,Spain,20-Sep-1965,0.0,20.4,59.6,1.5578,CP,30-Sep-2023,Francis,Archbishop of Madrid,0,0,0,0,Spanish
21-Apr-2025,NA,197,Protase Rugambwa,2,Tanzania,31-May-1960,0.0,15.1,64.9,1.5578,CP,30-Sep-2023,Francis,Archbishop of Tabora,0,0,0,0,Kiswahili
21-Apr-2025,NA,198,Sebastian Francis,2,Malaysia,11-Nov-1951,0.0,6.6,73.4,1.5578,CP,30-Sep-2023,Francis,Bishop of Penang,0,0,0,0,English
21-Apr-2025,NA,199,Stephen Chow Sau-yan ,3,"China
(Hong Kong)[f]",7-Aug-1959,0.0,14.3,65.7,0.3696,CP,7-Dec-2024,Francis,Bishop of Hong Kong,0,0,0,0,Cantonese
21-Apr-2025,NA,200,François-Xavier Bustillo ,2,France[p],23-Nov-1968,0.0,23.6,56.4,0.3696,CP,7-Dec-2024,Francis,Bishop of Ajaccio,0,0,0,0,French
21-Apr-2025,NA,201,Américo Aguiar,2,Portugal,12-Dec-1973,0.0,28.6,51.4,0.3696,CP,7-Dec-2024,Francis,Bishop of Setúbal,0,0,0,0,Portuguese
21-Apr-2025,NA,202,Diego Rafael Padrón Sánchez,4,Venezuela,17-May-1939,5.9,0.0,85.9,0.3696,CP,7-Dec-2024,Francis,Archbishop emeritus of Cumaná,0,0,0,0,Spanish
21-Apr-2025,NA,203,Carlos Castillo Mattasoglio,3,Peru,28-Feb-1950,0.0,4.9,75.1,0.3696,CP,7-Dec-2024,Francis,Archbishop of Lima,0,0,0,0,Spanish
21-Apr-2025,NA,204,Vicente Bokalic Iglic ,3,Argentina,11-Jun-1952,0.0,7.1,72.9,0.3696,CP,7-Dec-2024,Francis,Archbishop of Santiago del Estero,0,0,0,0,Spanish
21-Apr-2025,NA,205,Luis Cabrera Herrera ,3,Ecuador,11-Oct-1955,0.0,10.5,69.5,0.3696,CP,7-Dec-2024,Francis,Archbishop of Guayaquil,0,0,0,0,Spanish
21-Apr-2025,NA,206,Fernando Chomalí Garib,3,Chile,10-Mar-1957,0.0,11.9,68.1,0.3696,CP,7-Dec-2024,Francis,Archbishop of Santiago de Chile,0,0,0,0,Spanish
21-Apr-2025,NA,207,Tarcisio Isao Kikuchi ,3,Japan,1-Nov-1958,0.0,13.5,66.5,0.3696,CP,7-Dec-2024,Francis,Archbishop of Tokyo,0,0,0,0,Japanese
21-Apr-2025,NA,208,Pablo Virgilio David,3,Philippines,2-Mar-1959,0.0,13.9,66.1,0.3696,CP,7-Dec-2024,Francis,Bishop of Kalookan,0,0,0,0,Tagalog
21-Apr-2025,NA,209,Ladislav Nemet ,2,Serbia[q],7-Sep-1956,0.0,11.4,68.6,0.3696,CP,7-Dec-2024,Francis,Archbishop of Belgrade,0,0,0,0,Serbian
21-Apr-2025,NA,210,Jaime Spengler ,2,Brazil,6-Sep-1960,0.0,15.4,64.6,0.3696,CP,7-Dec-2024,Francis,Archbishop of Porto Alegre,0,0,0,0,Portuguese
21-Apr-2025,NA,211,Ignace Bessi Dogbo,3,Ivory Coast,17-Aug-1961,0.0,16.3,63.7,0.3696,CP,7-Dec-2024,Francis,Archbishop of Abidjan,0,0,0,0,French
21-Apr-2025,NA,212,Jean-Paul Vesco ,2,Algeria[r],10-Mar-1962,0.0,16.9,63.1,0.3696,CP,7-Dec-2024,Francis,Archbishop of Algiers,0,0,0,0,French
21-Apr-2025,NA,213,Dominique Mathieu ,2,Iran[s],13-Jun-1963,0.0,18.1,61.9,0.3696,CP,7-Dec-2024,Francis,Archbishop of Tehran–Isfahan,0,0,0,0,French
21-Apr-2025,NA,214,Roberto Repole,2,Italy,29-Jan-1967,0.0,21.8,58.2,0.3696,CP,7-Dec-2024,Francis,Archbishop of Turin and Bishop of Susa,0,0,0,0,Italian
21-Apr-2025,NA,215,Baldassare Reina,2,Italy,26-Nov-1970,0.0,25.6,54.4,0.3696,CP,7-Dec-2024,Francis,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,0,0,0,0,Italian
21-Apr-2025,NA,216,Frank Leo,2,Canada,30-Jun-1971,0.0,26.2,53.8,0.3696,CP,7-Dec-2024,Francis,Archbishop of Toronto,0,0,0,0,English
21-Apr-2025,NA,217,Mykola Bychok ,2,Australia[t],13-Feb-1980,0.0,34.8,45.2,0.3696,CP,7-Dec-2024,Francis,"Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",0,0,0,0,Ukrainian
21-Apr-2025,NA,218,Domenico Battaglia,2,Italy,20-Jan-1963,0.0,17.7,62.3,0.3696,CP,7-Dec-2024,Francis,Archbishop of Naples,0,0,0,0,Italian
21-Apr-2025,NA,219,Dominique Mamberti,2,France,7-Mar-1952,0.0,6.9,73.1,10.1821,CD,14-Feb-2015,Francis,Prefect of the Supreme Tribunal of the Apostolic Signatura[c],0,0,0,0,French
21-Apr-2025,NA,220,Mario Zenari,2,Italy,5-Jan-1946,0.0,0.7,79.3,8.4189,CD,19-Nov-2016,Francis,Apostolic Nuncio to Syria,0,0,0,0,Italian
21-Apr-2025,NA,221,Kevin Farrell,2,United States[u],2-Sep-1947,0.0,2.4,77.6,8.4189,CD,19-Nov-2016,Francis,"Prefect of the Dicastery for the Laity, Family and Life[c] and Camerlengo of the Holy Roman Church",0,0,0,0,English
21-Apr-2025,NA,222,Ernest Simoni,2,Albania,18-Oct-1928,16.5,0.0,96.5,8.4189,CD,19-Nov-2016,Francis,Priest of the Archdiocese of Shkodër–Pult[v],0,0,0,0,Albanian
21-Apr-2025,NA,223,Luis Ladaria Ferrer ,3,Spain,19-Apr-1944,1.0,0.0,81.0,6.8145,CD,28-Jun-2018,Francis,Prefect emeritus of the Dicastery for the Doctrine of the Faith,0,0,0,0,Spanish
21-Apr-2025,NA,224,Giovanni Angelo Becciu,3,Italy,2-Jun-1948,0.0,3.1,76.9,6.8145,CD,28-Jun-2018,Francis,Prefect emeritus of the Congregation for the Causes of Saints,0,0,0,0,Italian
21-Apr-2025,NA,225,Konrad Krajewski,2,Poland,25-Nov-1963,0.0,18.6,61.4,6.8145,CD,28-Jun-2018,Francis,Almoner of His Holiness,0,0,0,0,Polish
21-Apr-2025,NA,226,Aquilino Bocos Merino ,3,Spain,17-May-1938,6.9,0.0,86.9,6.8145,CD,28-Jun-2018,Francis,Superior General emeritus of the Missionary Sons of the Immaculate Heart of Mary,0,0,0,0,Spanish
21-Apr-2025,NA,227,José Tolentino de Mendonça,4,Portugal,15-Dec-1965,0.0,20.7,59.3,5.5441,CD,5-Oct-2019,Francis,Prefect of the Dicastery for Culture and Education[c],0,0,0,0,Portuguese
21-Apr-2025,NA,228,Michael Czerny ,2,Canada[x],18-Jul-1946,0.0,1.2,78.8,5.5441,CD,5-Oct-2019,Francis,Prefect of the Dicastery for Promoting Integral Human Development[c],0,0,0,0,Czech
21-Apr-2025,NA,229,Michael Fitzgerald ,2,United Kingdom,17-Aug-1937,7.7,0.0,87.7,5.5441,CD,5-Oct-2019,Francis,Apostolic Nuncio emeritus to Egypt,0,0,0,0,English
21-Apr-2025,NA,230,Mario Grech,2,Malta,20-Feb-1957,0.0,11.8,68.2,4.3943,CD,28-Nov-2020,Francis,Secretary-General of the Synod of Bishops,0,0,0,0,Maltese
21-Apr-2025,NA,231,Marcello Semeraro,2,Italy,22-Dec-1947,0.0,2.7,77.3,4.3943,CD,28-Nov-2020,Francis,Prefect of the Dicastery for the Causes of Saints[c],0,0,0,0,Italian
21-Apr-2025,NA,232,Mauro Gambetti ,2,Italy,27-Oct-1965,0.0,20.5,59.5,4.3943,CD,28-Nov-2020,Francis,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",0,0,0,0,Italian
21-Apr-2025,NA,233,Silvano Maria Tomasi ,3,Italy,12-Oct-1940,4.5,0.0,84.5,4.3943,CD,28-Nov-2020,Francis,Special Delegate to the Sovereign Military Order of Malta,0,0,0,0,Italian
21-Apr-2025,NA,234,Raniero Cantalamessa ,2,Italy,22-Jul-1934,10.7,0.0,90.7,4.3943,CD,28-Nov-2020,Francis,Preacher emeritus of the Papal Household[v],0,0,0,0,Italian
21-Apr-2025,NA,235,Enrico Feroci,2,Italy,27-Aug-1940,4.6,0.0,84.6,4.3943,CD,28-Nov-2020,Francis,"Pastor of the Shrine of Our Lady of Divine Love in Castel di Leva, Rome",0,0,0,0,Italian
21-Apr-2025,NA,236,Arthur Roche,2,United Kingdom,6-Mar-1950,0.0,4.9,75.1,2.6502,CD,27-Aug-2022,Francis,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments[c],0,0,0,0,English
21-Apr-2025,NA,237,Lazarus You Heung-sik,3,South Korea,17-Nov-1951,0.0,6.6,73.4,2.6502,CD,27-Aug-2022,Francis,Prefect of the Dicastery for the Clergy[c],0,0,0,0,Korean
21-Apr-2025,NA,238,Fernando Vérgez Alzaga ,3,Spain,1-Mar-1945,0.1,0.0,80.1,2.6502,CD,27-Aug-2022,Francis,President emeritus of the Pontifical Commission for Vatican City State,0,0,0,0,Spanish
21-Apr-2025,NA,239,Gianfranco Ghirlanda ,2,Italy,5-Jul-1942,2.8,0.0,82.8,2.6502,CD,27-Aug-2022,Francis,Patron of the Sovereign Military Order of Malta[v],0,0,0,0,Italian
21-Apr-2025,NA,240,Fortunato Frezza,2,Italy,6-Feb-1942,3.2,0.0,83.2,2.6502,CD,27-Aug-2022,Francis,Canon of the Chapter of the Papal Basilica of Saint Peter,0,0,0,0,Italian
21-Apr-2025,NA,241,Claudio Gugerotti,2,Italy,7-Oct-1955,0.0,10.5,69.5,1.5578,CD,30-Sep-2023,Francis,Prefect of the Dicastery for the Eastern Churches[c],0,0,0,0.0345,Italian
21-Apr-2025,NA,242,Víctor Manuel Fernández,3,Argentina,18-Jul-1962,0.0,17.2,62.8,1.5578,CD,30-Sep-2023,Francis,Prefect of the Dicastery for the Doctrine of the Faith[c],0,0,0,0,Spanish
21-Apr-2025,NA,243,Emil Paul Tscherrig,3,Switzerland,3-Feb-1947,0.0,1.8,78.2,1.5578,CD,30-Sep-2023,Francis,Apostolic Nuncio emeritus to Italy and San Marino,0,0,0,0,German
21-Apr-2025,NA,244,Christophe Pierre,2,France,30-Jan-1946,0.0,0.8,79.2,1.5578,CD,30-Sep-2023,Francis,Apostolic Nuncio to the United States,0,0,0,0,French
21-Apr-2025,NA,245,Ángel Fernández Artime ,3,Spain,21-Aug-1960,0.0,15.3,64.7,1.5578,CD,30-Sep-2023,Francis,Pro-Prefect of the Dicastery for Institutes of Consecrated Life and Societies of Apostolic Life,0,0,0,0,Spanish
21-Apr-2025,NA,246,Agostino Marchetto,2,Italy,28-Aug-1940,4.6,0.0,84.6,1.5578,CD,30-Sep-2023,Francis,Secretary emeritus of the Pontifical Council for the Pastoral Care of Migrants and Itinerant People,0,0,0,0,Italian
21-Apr-2025,NA,247,Luis Pascual Dri ,3,Argentina,17-Apr-1927,18.0,0.0,98.0,1.5578,CD,30-Sep-2023,Francis,"Confessor at the Shrine of Our Lady of Pompei [es], Buenos Aires",0,0,0,0,Spanish
21-Apr-2025,NA,248,Angelo Acerbi,2,Italy,23-Sep-1925,19.6,0.0,99.6,0.3696,CD,7-Dec-2024,Francis,Apostolic Nuncio emeritus,0,0,0,0,Italian
21-Apr-2025,NA,249,Rolandas Makrickas,2,Lithuania,31-Jan-1972,0.0,26.8,53.2,0.3696,CD,7-Dec-2024,Francis,Coadjutor Archpriest of the Papal Basilica of Saint Mary Major,0,0,0,0,Lithuanian
21-Apr-2025,NA,250,Timothy Radcliffe ,2,United Kingdom,22-Aug-1945,0.0,0.3,79.7,0.3696,CD,7-Dec-2024,Francis,Master emeritus of the Order of Preachers,0,0,0,0,English
21-Apr-2025,NA,251,Fabio Baggio ,2,Italy,15-Jan-1965,0.0,19.7,60.3,0.3696,CD,7-Dec-2024,Francis,Undersecretary of the Migrants and Refugees Section of the Dicastery for Promoting Integral Human Development,0,0,0,0,Italian
21-Apr-2025,NA,252,George Koovakad,2,India,11-Aug-1973,0.0,28.3,51.7,0.3696,CD,7-Dec-2024,Francis,"Prefect of the Dicastery for Interreligious Dialogue[c]
(Syro-Malabar Church)",0,0,0,0,Malayalam
21-Apr-2025,NA,NA,Donald Trump,2,United States,14-Jun-1946,0.0,1.1,78.9,0.0000,NA,NA,NA,US President,0,0,0,0,English
