conclave_date,pope_name,rank,name,name_words,country_serving,born,age_at_conclave,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,newsweek_choice,betting_market,first_language,elected
2-Apr-2005,NA,29,Christian Wiyghan Tumi,3,Cameroon,15-Oct-1930,74.4641,16.7611,CP,28 June 1988,John Paul II,Archbishop of Douala,0,0,0,French,no
2-Apr-2005,NA,30,Frédéric Etsou-Nzabi-Bamungwabi CICM,3,Democratic Republic of the Congo,3-Dec-1930,74.3299,13.7632,CP,28 June 1991,John Paul II,Archbishop of Kinshasa,0,0,0,French,no
2-Apr-2005,NA,31,Nicolás de Jesús López Rodríguez,5,Dominican Republic,31-Oct-1936,68.4189,13.7632,CP,28 June 1991,John Paul II,Archbishop of Santo Domingo,0,0,0,Spanish,no
2-Apr-2005,NA,32,Roger Michael Mahony,3,United States,27-Feb-1936,69.0951,13.7632,CP,28 June 1991,John Paul II,Archbishop of Los Angeles,0,0,0,English,no
2-Apr-2005,NA,33,Camillo Ruini,2,Italy,19-Feb-1931,74.1164,13.7632,CP,28 June 1991,John Paul II,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,0,0,0,Italian,no
2-Apr-2005,NA,34,Henri Schwery,2,Switzerland,14-Jun-1932,72.7995,13.7632,CP,28 June 1991,John Paul II,Bishop emeritus of Sion,0,0,0,French,no
2-Apr-2005,NA,35,Georg Maximilian Sterzinsky,3,Germany,9-Feb-1936,69.1444,13.7632,CP,28 June 1991,John Paul II,Archbishop of Berlin,0,0,0,German,no
2-Apr-2005,NA,36,Miloslav Vlk,2,Czech Republic,17-May-1932,72.8761,10.3491,CP,26 November 1994,John Paul II,Archbishop of Prague,0,0,0,Czech,no
2-Apr-2005,NA,37,Peter Seiichi Shirayanagi,3,Japan,17-Jun-1928,76.7912,10.3491,CP,26 November 1994,John Paul II,Archbishop emeritus of Tokyo,0,0,0,Japanese,no
2-Apr-2005,NA,38,Julius Darmaatmadja ,2,Indonesia,20-Dec-1934,70.2834,10.3491,CP,26 November 1994,John Paul II,Archbishop of Jakarta,0,0,0,Javanese,no
2-Apr-2005,NA,39,Jaime Lucas Ortega y Alamino,5,Cuba,18-Oct-1936,68.4545,10.3491,CP,26 November 1994,John Paul II,Archbishop of San Cristóbal de la Habana,0,0,0,Spanish,no
2-Apr-2005,NA,40,Emmanuel Wamala,2,Uganda,15-Dec-1926,78.2971,10.3491,CP,26 November 1994,John Paul II,Archbishop of Kampala,0,0,0,Luganda,no
2-Apr-2005,NA,41,William Henry Keeler,3,United States,4-Mar-1931,74.0808,10.3491,CP,26 November 1994,John Paul II,Archbishop of Baltimore,0,0,0,English,no
2-Apr-2005,NA,42,Jean-Claude Turcotte,2,Canada,26-Jun-1936,68.7666,10.3491,CP,26 November 1994,John Paul II,Archbishop of Montreal,0,0,0,French,no
2-Apr-2005,NA,43,Ricardo María Carles Gordó,4,Spain,24-Sep-1926,78.5216,10.3491,CP,26 November 1994,John Paul II,Archbishop emeritus of Barcelona,0,0,0,Spanish,no
2-Apr-2005,NA,44,Adam Joseph Maida,3,United States,18-Mar-1930,75.0418,10.3491,CP,26 November 1994,John Paul II,Archbishop of Detroit,0,0,0,English,no
2-Apr-2005,NA,45,Vinko Puljić,2,Bosnia and Herzegovina,8-Sep-1945,59.5647,10.3491,CP,26 November 1994,John Paul II,Archbishop of Vrhbosna,0,0,0,Croatian,no
2-Apr-2005,NA,46,Armand Gaetan Razafindratandra,3,Madagascar,7-Aug-1925,79.6523,10.3491,CP,26 November 1994,John Paul II,Archbishop of Antananarivo,0,0,0,Malagasy,no
2-Apr-2005,NA,47,Juan Sandoval Íñiguez,3,Mexico,28-Mar-1933,72.0137,10.3491,CP,26 November 1994,John Paul II,Archbishop of Guadalajara,0,0,0,Spanish,no
2-Apr-2005,NA,48,Salvatore De Giorgi,3,Italy,6-Sep-1930,74.5708,7.1102,CP,21 February 1998,John Paul II,Archbishop of Palermo,0,0,0,Italian,no
2-Apr-2005,NA,49,Antonio María Rouco Varela,4,Spain,20-Aug-1936,68.6160,7.1102,CP,21 February 1998,John Paul II,Archbishop of Madrid,0,0,0,Spanish,no
2-Apr-2005,NA,50,Aloysius Matthew Ambrozic,3,Canada,27-Jan-1930,75.1786,7.1102,CP,21 February 1998,John Paul II,Archbishop of Toronto,0,0,0,Slovenian,no
2-Apr-2005,NA,51,Dionigi Tettamanzi,2,Italy,14-Mar-1934,71.0527,7.1102,CP,21 February 1998,John Paul II,Archbishop of Milan,0,0,0,Italian,no
2-Apr-2005,NA,52,Polycarp Pengo,2,Tanzania,5-Aug-1944,60.6571,7.1102,CP,21 February 1998,John Paul II,Archbishop of Dar-es-Salaam,0,0,0,Swahili,no
2-Apr-2005,NA,53,Christoph Schönborn ,2,Austria,22-Jan-1945,60.1916,7.1102,CP,21 February 1998,John Paul II,Archbishop of Vienna,0,0,0,German,no
2-Apr-2005,NA,54,Norberto Rivera Carrera,3,Mexico,6-Jun-1942,62.8227,7.1102,CP,21 February 1998,John Paul II,Archbishop of Mexico,0,0,0,Spanish,no
2-Apr-2005,NA,55,Francis Eugene George ,3,United States,16-Jan-1937,68.2081,7.1102,CP,21 February 1998,John Paul II,Archbishop of Chicago,0,0,0,English,no
2-Apr-2005,NA,56,Marian Jaworski,2,Poland[a],21-Aug-1926,78.6146,7.1102,CP,21 February 1998,John Paul II,Archbishop of Lviv,0,0,0,Polish,no
2-Apr-2005,NA,57,Jānis Pujats,2,Latvia,14-Nov-1930,74.3819,7.1102,CP,21 February 1998,John Paul II,Archbishop of Riga,0,0,0,Latvian,no
2-Apr-2005,NA,58,Ivan Dias,2,India,14-Apr-1936,68.9665,4.1095,CP,21 February 2001,John Paul II,Archbishop of Bombay,0,0,0,Marathi,no
2-Apr-2005,NA,59,Geraldo Majella Agnelo,3,Brazil,19-Oct-1933,71.4524,4.1095,CP,21 February 2001,John Paul II,Archbishop of São Salvador da Bahia,0,0,0,Portuguese,no
2-Apr-2005,NA,60,Pedro Rubiano Sáenz,3,Colombia,13-Sep-1932,72.5503,4.1095,CP,21 February 2001,John Paul II,Archbishop of Bogotá,0,0,0,Spanish,no
2-Apr-2005,NA,61,Theodore Edgar McCarrick,3,United States,7-Jul-1930,74.7379,4.1095,CP,21 February 2001,John Paul II,Archbishop of Washington,0,0,0,English,no
2-Apr-2005,NA,62,Desmond Connell,2,Ireland,24-Mar-1926,79.0253,4.1095,CP,21 February 2001,John Paul II,Archbishop emeritus of Dublin,0,0,0,English,no
2-Apr-2005,NA,63,Audrys Juozas Bačkis,3,Lithuania,1-Feb-1937,68.1643,4.1095,CP,21 February 2001,John Paul II,Archbishop of Vilnius,0,0,0,Lithuanian,no
2-Apr-2005,NA,64,Francisco Javier Errázuriz Ossa ,4,Chile,5-Sep-1933,71.5729,4.1095,CP,21 February 2001,John Paul II,Archbishop of Santiago de Chile,0,0,0,Spanish,no
2-Apr-2005,NA,65,Julio Terrazas Sandoval ,3,Bolivia,7-Mar-1936,69.0705,4.1095,CP,21 February 2001,John Paul II,Archbishop of Santa Cruz de la Sierra,0,0,0,Spanish,no
2-Apr-2005,NA,66,Wilfrid Fox Napier ,3,South Africa,8-Mar-1941,64.0684,4.1095,CP,21 February 2001,John Paul II,Archbishop of Durban,0,0,0,English,no
2-Apr-2005,NA,67,Óscar Andrés Rodríguez Maradiaga ,4,Honduras,29-Dec-1942,62.2587,4.1095,CP,21 February 2001,John Paul II,Archbishop of Tegucigalpa,0,0,0,Spanish,no
2-Apr-2005,NA,68,Bernard Agré,2,Ivory Coast,2-Mar-1926,79.0856,4.1095,CP,21 February 2001,John Paul II,Archbishop of Abidjan,0,0,0,French,no
2-Apr-2005,NA,69,Juan Luis Cipriani Thorne,4,Peru,28-Dec-1943,61.2621,4.1095,CP,21 February 2001,John Paul II,Archbishop of Lima,0,0,0,Spanish,no
2-Apr-2005,NA,70,Francisco Álvarez Martínez,3,Spain,14-Jul-1925,79.7180,4.1095,CP,21 February 2001,John Paul II,Archbishop emeritus of Toledo,0,0,0,Spanish,no
2-Apr-2005,NA,71,Cláudio Hummes ,2,Brazil,8-Aug-1934,70.6502,4.1095,CP,21 February 2001,John Paul II,Archbishop of São Paulo,0,0,0,Portuguese,no
2-Apr-2005,NA,72,Varkey Vithayathil ,2,India,29-May-1927,77.8453,4.1095,CP,21 February 2001,John Paul II,"Major Archbishop of Ernakulam–Angamaly
(Syro-Malabar Church)",0,0,0,Malayalam,no
2-Apr-2005,NA,73,Jorge Mario Bergoglio ,3,Argentina,17-Dec-1936,68.2902,4.1095,CP,21 February 2001,John Paul II,Archbishop of Buenos Aires,0,0,0,Spanish,no
2-Apr-2005,NA,74,José da Cruz Policarpo,4,Portugal,26-Feb-1936,69.0979,4.1095,CP,21 February 2001,John Paul II,Patriarch of Lisbon,0,0,0,Portuguese,no
2-Apr-2005,NA,75,Severino Poletto,2,Italy,18-Mar-1933,72.0411,4.1095,CP,21 February 2001,John Paul II,Archbishop of Turin,0,0,0,Italian,no
2-Apr-2005,NA,76,Cormac Murphy-O'Connor,2,United Kingdom,24-Aug-1932,72.6051,4.1095,CP,21 February 2001,John Paul II,Archbishop of Westminster,0,0,0,English,no
2-Apr-2005,NA,77,Edward Michael Egan,3,United States,2-Apr-1932,72.9993,4.1095,CP,21 February 2001,John Paul II,Archbishop of New York,0,0,0,English,no
2-Apr-2005,NA,78,Lubomyr Husar ,2,Ukraine,26-Feb-1933,72.0958,4.1095,CP,21 February 2001,John Paul II,"Major Archbishop of Kyiv–Galicia
(Ukrainian Greek Church)",0,0,0,Ukrainian,no
2-Apr-2005,NA,79,Karl Lehmann,2,Germany,16-May-1936,68.8789,1.4483,CP,21 October 2003,John Paul II,Bishop of Mainz,0,0,0,German,no
2-Apr-2005,NA,80,Angelo Scola,2,Italy,7-Nov-1941,63.4004,1.4483,CP,21 October 2003,John Paul II,Patriarch of Venice,0,0,0,Italian,no
2-Apr-2005,NA,81,Anthony Olubunmi Okogie,3,Nigeria,16-Jun-1936,68.7940,1.4483,CP,21 October 2003,John Paul II,Archbishop of Lagos,0,0,0,Yoruba,no
2-Apr-2005,NA,82,Bernard Panafieu,2,France,26-Jan-1931,74.1821,1.4483,CP,21 October 2003,John Paul II,Archbishop of Marseille,0,0,0,French,no
2-Apr-2005,NA,83,Gabriel Zubeir Wako,3,Sudan,27-Feb-1941,64.0931,1.4483,CP,21 October 2003,John Paul II,Archbishop of Khartoum,0,0,0,Arabic,no
